scenario,scheme,seed,offered_load_factor,cycle,round_start_s,round_end_s,observed_matrix_bytes,future_demand_bytes,selected_edge_count,active_edge_count,selected_hit_flows,selected_hit_bytes,selected_but_unused_lightpaths,selected_edge_jaccard,selected_oracle_jaccard,volume_oracle_jaccard,tl_oracle_jaccard,volume_future_demand_coverage,tl_future_demand_coverage,oracle_future_demand_coverage,historical_future_pearson,historical_future_topk_jaccard,demand_drift_ratio,volume_oracle_possible_bytes_missed,tl_oracle_possible_bytes_missed,volume_selected_edges,tl_ocs_selected_edges,oracle_selected_edges,raw_a_top_edges,tl_g_top_edges,future_demand_top_edges
high-degree-aggregator-bias-replay,ocs-oracle,1401,0.5,6,0.03,0.035,10454254,64656000,4,4,16,27648000,0,1,1,1,1,0.427616926503,0.427616926503,0.427616926503,0.852830794658,1,5.18465193501,0,0,"1-2(score=2.52194e+06,gain=2.52194e+06);4-5(score=2.401e+06,gain=2.401e+06);0-3(score=861630,gain=861630);6-7(score=748792,gain=748792)","1-2(score=1.93486e+06,gain=1.93486e+06);4-5(score=1.89913e+06,gain=1.89913e+06);6-7(score=672169,gain=672169);0-3(score=616185,gain=616185)","1-2(score=8.544e+06,gain=8.544e+06);4-5(score=8.544e+06,gain=8.544e+06);6-7(score=6.144e+06,gain=6.144e+06);0-3(score=4.416e+06,gain=4.416e+06)","1-2(score=2521936,gain=2521936);4-5(score=2400998,gain=2400998);0-3(score=861630,gain=861630);2-3(score=765982,gain=765982);6-7(score=748792,gain=748792);1-3(score=586158,gain=586158);5-6(score=567378,gain=567378);4-6(score=544842,gain=544842)","1-2(score=1934861.1157,gain=1934861.1157);4-5(score=1899130.19455,gain=1899130.19455);6-7(score=672169.462048,gain=672169.462048);0-3(score=616184.903039,gain=616184.903039);2-3(score=385452.356749,gain=385452.356749);5-6(score=233306.509668,gain=233306.509668);1-3(score=224542.564917,gain=224542.564917);4-6(score=215942.176924,gain=215942.176924)","1-2(score=8544000,gain=8544000);4-5(score=8544000,gain=8544000);5-6(score=8544000,gain=8544000);2-3(score=6144000,gain=6144000);6-7(score=6144000,gain=6144000);0-3(score=4416000,gain=4416000);1-3(score=4320000,gain=4320000);4-6(score=4320000,gain=4320000)"
high-degree-aggregator-bias-replay,ocs-oracle,1401,0.5,7,0.035,0.04,10879908,64656000,4,4,16,27648000,0,1,1,1,1,0.427616926503,0.427616926503,0.427616926503,0.856305441477,1,4.94269049514,0,0,"1-2(score=2.69938e+06,gain=2.69938e+06);4-5(score=2.35251e+06,gain=2.35251e+06);6-7(score=1.14478e+06,gain=1.14478e+06);0-3(score=861040,gain=861040)","1-2(score=2.08039e+06,gain=2.08039e+06);4-5(score=1.8979e+06,gain=1.8979e+06);6-7(score=1.0144e+06,gain=1.0144e+06);0-3(score=628151,gain=628151)","1-2(score=8.544e+06,gain=8.544e+06);4-5(score=8.544e+06,gain=8.544e+06);6-7(score=6.144e+06,gain=6.144e+06);0-3(score=4.416e+06,gain=4.416e+06)","1-2(score=2699378,gain=2699378);4-5(score=2352510,gain=2352510);6-7(score=1144778,gain=1144778);0-3(score=861040,gain=861040);2-3(score=732086,gain=732086);1-3(score=605686,gain=605686);5-6(score=577408,gain=577408);4-6(score=463352,gain=463352)","1-2(score=2080390.41209,gain=2080390.41209);4-5(score=1897896.81658,gain=1897896.81658);6-7(score=1014399.30956,gain=1014399.30956);0-3(score=628150.898156,gain=628150.898156);2-3(score=354896.619503,gain=354896.619503);1-3(score=241063.502218,gain=241063.502218);5-6(score=105275.492367,gain=105275.492367);4-6(score=56795.6152254,gain=56795.6152254)","1-2(score=8544000,gain=8544000);4-5(score=8544000,gain=8544000);5-6(score=8544000,gain=8544000);2-3(score=6144000,gain=6144000);6-7(score=6144000,gain=6144000);0-3(score=4416000,gain=4416000);1-3(score=4320000,gain=4320000);4-6(score=4320000,gain=4320000)"
high-degree-aggregator-bias-replay,ocs-oracle,1401,0.5,8,0.04,0.045,10728026,64656000,4,4,16,27648000,0,1,1,1,1,0.427616926503,0.427616926503,0.427616926503,0.857646740543,1,5.02682400263,0,0,"1-2(score=2.69911e+06,gain=2.69911e+06);4-5(score=2.22469e+06,gain=2.22469e+06);6-7(score=1.09311e+06,gain=1.09311e+06);0-3(score=859270,gain=859270)","1-2(score=2.06546e+06,gain=2.06546e+06);4-5(score=1.79772e+06,gain=1.79772e+06);6-7(score=970007,gain=970007);0-3(score=621506,gain=621506)","1-2(score=8.544e+06,gain=8.544e+06);4-5(score=8.544e+06,gain=8.544e+06);6-7(score=6.144e+06,gain=6.144e+06);0-3(score=4.416e+06,gain=4.416e+06)","1-2(score=2699108,gain=2699108);4-5(score=2224686,gain=2224686);6-7(score=1093112,gain=1093112);0-3(score=859270,gain=859270);2-3(score=715232,gain=715232);1-3(score=659766,gain=659766);5-6(score=572796,gain=572796);4-6(score=480038,gain=480038)","1-2(score=2065457.85656,gain=2065457.85656);4-5(score=1797722.56022,gain=1797722.56022);6-7(score=970006.876742,gain=970006.876742);0-3(score=621505.973646,gain=621505.973646);2-3(score=329702.784982,gain=329702.784982);1-3(score=277370.334093,gain=277370.334093);5-6(score=225365.645112,gain=225365.645112);4-6(score=145615.358819,gain=145615.358819)","1-2(score=8544000,gain=8544000);4-5(score=8544000,gain=8544000);5-6(score=8544000,gain=8544000);2-3(score=6144000,gain=6144000);6-7(score=6144000,gain=6144000);0-3(score=4416000,gain=4416000);1-3(score=4320000,gain=4320000);4-6(score=4320000,gain=4320000)"
high-degree-aggregator-bias-replay,ocs-oracle,1401,0.5,9,0.045,0.05,10841912,64656000,4,4,16,27648000,0,1,1,1,1,0.427616926503,0.427616926503,0.427616926503,0.849900012307,1,4.96351690986,0,0,"1-2(score=2.68745e+06,gain=2.68745e+06);4-5(score=2.5044e+06,gain=2.5044e+06);6-7(score=1.05276e+06,gain=1.05276e+06);0-3(score=854550,gain=854550)","1-2(score=2.08038e+06,gain=2.08038e+06);4-5(score=1.99931e+06,gain=1.99931e+06);6-7(score=936858,gain=936858);0-3(score=634626,gain=634626)","1-2(score=8.544e+06,gain=8.544e+06);4-5(score=8.544e+06,gain=8.544e+06);6-7(score=6.144e+06,gain=6.144e+06);0-3(score=4.416e+06,gain=4.416e+06)","1-2(score=2687454,gain=2687454);4-5(score=2504396,gain=2504396);6-7(score=1052756,gain=1052756);0-3(score=854550,gain=854550);2-3(score=660736,gain=660736);1-3(score=648456,gain=648456);5-6(score=598386,gain=598386);4-6(score=485772,gain=485772)","1-2(score=2080382.67388,gain=2080382.67388);4-5(score=1999312.71555,gain=1999312.71555);6-7(score=936857.615398,gain=936857.615398);0-3(score=634626.052852,gain=634626.052852);2-3(score=297534.528407,gain=297534.528407);1-3(score=287572.357549,gain=287572.357549);5-6(score=227646.712639,gain=227646.712639);4-6(score=127733.627984,gain=127733.627984)","1-2(score=8544000,gain=8544000);4-5(score=8544000,gain=8544000);5-6(score=8544000,gain=8544000);2-3(score=6144000,gain=6144000);6-7(score=6144000,gain=6144000);0-3(score=4416000,gain=4416000);1-3(score=4320000,gain=4320000);4-6(score=4320000,gain=4320000)"
high-degree-aggregator-bias-replay,ocs-oracle,1401,0.7,1,0.005,0.01,1331292,96984000,4,4,24,41472000,0,0,1,0,1,0.269487750557,0.427616926503,0.427616926503,0.764884874634,0.230769230769,71.8487230969,41472000,0,"0-1(score=136458,gain=136458);2-3(score=100780,gain=100780);5-6(score=88124,gain=88124)","1-2(score=70330,gain=70330);6-7(score=68814.4,gain=68814.4);4-5(score=56216.6,gain=56216.6);0-3(score=34997.5,gain=34997.5)","1-2(score=1.2816e+07,gain=1.2816e+07);4-5(score=1.2816e+07,gain=1.2816e+07);6-7(score=9.216e+06,gain=9.216e+06);0-3(score=6.624e+06,gain=6.624e+06)","0-1(score=136458,gain=136458);0-2(score=121118,gain=121118);0-3(score=112858,gain=112858);0-4(score=112210,gain=112210);0-5(score=111400,gain=111400);0-6(score=111400,gain=111400);1-2(score=111400,gain=111400);2-3(score=100780,gain=100780)","1-2(score=70329.9690015,gain=70329.9690015);6-7(score=68814.44152,gain=68814.44152);2-3(score=63993.5737855,gain=63993.5737855);4-5(score=56216.6362331,gain=56216.6362331);5-6(score=49643.3671201,gain=49643.3671201);0-1(score=49530.9648912,gain=49530.9648912);1-3(score=44022.1650968,gain=44022.1650968);4-6(score=42286.9447424,gain=42286.9447424)","1-2(score=12816000,gain=12816000);4-5(score=12816000,gain=12816000);5-6(score=12816000,gain=12816000);2-3(score=9216000,gain=9216000);6-7(score=9216000,gain=9216000);0-3(score=6624000,gain=6624000);1-3(score=6480000,gain=6480000);4-6(score=6480000,gain=6480000)"
high-degree-aggregator-bias-replay,ocs-oracle,1401,0.7,2,0.01,0.015,13599272,96984000,4,4,24,41472000,0,1,1,1,1,0.427616926503,0.427616926503,0.427616926503,0.791804661272,1,6.1315514556,0,0,"1-2(score=3.73362e+06,gain=3.73362e+06);4-5(score=3.45524e+06,gain=3.45524e+06);0-3(score=1.75557e+06,gain=1.75557e+06);6-7(score=998172,gain=998172)","1-2(score=2.95425e+06,gain=2.95425e+06);4-5(score=2.78289e+06,gain=2.78289e+06);0-3(score=1.41493e+06,gain=1.41493e+06);6-7(score=912083,gain=912083)","1-2(score=1.2816e+07,gain=1.2816e+07);4-5(score=1.2816e+07,gain=1.2816e+07);6-7(score=9.216e+06,gain=9.216e+06);0-3(score=6.624e+06,gain=6.624e+06)","1-2(score=3733620,gain=3733620);4-5(score=3455236,gain=3455236);0-3(score=1755574,gain=1755574);6-7(score=998172,gain=998172);2-3(score=695386,gain=695386);5-6(score=603226,gain=603226);1-3(score=508046,gain=508046);4-6(score=474454,gain=474454)","1-2(score=2954248.22457,gain=2954248.22457);4-5(score=2782887.77174,gain=2782887.77174);0-3(score=1414929.35465,gain=1414929.35465);6-7(score=912082.763169,gain=912082.763169);5-6(score=229082.134643,gain=229082.134643);4-6(score=110883.831618,gain=110883.831618);2-3(score=91083.1840403,gain=91083.1840403);1-3(score=9591.34227678,gain=9591.34227678)","1-2(score=12816000,gain=12816000);4-5(score=12816000,gain=12816000);5-6(score=12816000,gain=12816000);2-3(score=9216000,gain=9216000);6-7(score=9216000,gain=9216000);0-3(score=6624000,gain=6624000);1-3(score=6480000,gain=6480000);4-6(score=6480000,gain=6480000)"
high-degree-aggregator-bias-replay,ocs-oracle,1401,0.7,3,0.015,0.02,14149614,96984000,4,4,24,41472000,0,1,1,1,1,0.427616926503,0.427616926503,0.427616926503,0.805816096791,1,5.85417370307,0,0,"1-2(score=3.6716e+06,gain=3.6716e+06);4-5(score=3.45089e+06,gain=3.45089e+06);0-3(score=1.71051e+06,gain=1.71051e+06);6-7(score=1.46028e+06,gain=1.46028e+06)","1-2(score=2.90998e+06,gain=2.90998e+06);4-5(score=2.80962e+06,gain=2.80962e+06);0-3(score=1.37111e+06,gain=1.37111e+06);6-7(score=1.31399e+06,gain=1.31399e+06)","1-2(score=1.2816e+07,gain=1.2816e+07);4-5(score=1.2816e+07,gain=1.2816e+07);6-7(score=9.216e+06,gain=9.216e+06);0-3(score=6.624e+06,gain=6.624e+06)","1-2(score=3671604,gain=3671604);4-5(score=3450894,gain=3450894);0-3(score=1710506,gain=1710506);6-7(score=1460282,gain=1460282);2-3(score=676942,gain=676942);1-3(score=673078,gain=673078);4-6(score=544638,gain=544638);5-6(score=533960,gain=533960)","1-2(score=2909975.68513,gain=2909975.68513);4-5(score=2809621.70633,gain=2809621.70633);0-3(score=1371111.87725,gain=1371111.87725);6-7(score=1313988.91929,gain=1313988.91929);2-3(score=87420.8835316,gain=87420.8835316);1-3(score=85500.5635961,gain=85500.5635961);4-6(score=59405.5954144,gain=59405.5954144);5-6(score=53120.682729,gain=53120.682729)","1-2(score=12816000,gain=12816000);4-5(score=12816000,gain=12816000);5-6(score=12816000,gain=12816000);2-3(score=9216000,gain=9216000);6-7(score=9216000,gain=9216000);0-3(score=6624000,gain=6624000);1-3(score=6480000,gain=6480000);4-6(score=6480000,gain=6480000)"
high-degree-aggregator-bias-replay,ocs-oracle,1401,0.7,4,0.02,0.025,14050562,96984000,4,4,24,41472000,0,1,1,1,1,0.427616926503,0.427616926503,0.427616926503,0.813184962171,1,5.90249339938,0,0,"1-2(score=3.64767e+06,gain=3.64767e+06);4-5(score=3.18997e+06,gain=3.18997e+06);0-3(score=1.68674e+06,gain=1.68674e+06);6-7(score=1.67873e+06,gain=1.67873e+06)","1-2(score=2.89219e+06,gain=2.89219e+06);4-5(score=2.62003e+06,gain=2.62003e+06);6-7(score=1.49685e+06,gain=1.49685e+06);0-3(score=1.34955e+06,gain=1.34955e+06)","1-2(score=1.2816e+07,gain=1.2816e+07);4-5(score=1.2816e+07,gain=1.2816e+07);6-7(score=9.216e+06,gain=9.216e+06);0-3(score=6.624e+06,gain=6.624e+06)","1-2(score=3647668,gain=3647668);4-5(score=3189968,gain=3189968);0-3(score=1686740,gain=1686740);6-7(score=1678728,gain=1678728);2-3(score=731380,gain=731380);1-3(score=595930,gain=595930);4-6(score=535892,gain=535892);5-6(score=527200,gain=527200)","1-2(score=2892190.09462,gain=2892190.09462);4-5(score=2620027.1156,gain=2620027.1156);6-7(score=1496850.7717,gain=1496850.7717);0-3(score=1349545.00617,gain=1349545.00617);2-3(score=115194.279711,gain=115194.279711);1-3(score=54218.3365178,gain=54218.3365178);4-6(score=51114.0834404,gain=51114.0834404);5-6(score=46846.4149128,gain=46846.4149128)","1-2(score=12816000,gain=12816000);4-5(score=12816000,gain=12816000);5-6(score=12816000,gain=12816000);2-3(score=9216000,gain=9216000);6-7(score=9216000,gain=9216000);0-3(score=6624000,gain=6624000);1-3(score=6480000,gain=6480000);4-6(score=6480000,gain=6480000)"
high-degree-aggregator-bias-replay,ocs-oracle,1401,0.7,5,0.025,0.03,13342152,96984000,4,4,24,41472000,0,1,1,1,1,0.427616926503,0.427616926503,0.427616926503,0.80715184607,1,6.26898524055,0,0,"4-5(score=3.39801e+06,gain=3.39801e+06);1-2(score=3.31729e+06,gain=3.31729e+06);0-3(score=1.67268e+06,gain=1.67268e+06);6-7(score=1.04286e+06,gain=1.04286e+06)","4-5(score=2.73223e+06,gain=2.73223e+06);1-2(score=2.62267e+06,gain=2.62267e+06);0-3(score=1.3153e+06,gain=1.3153e+06);6-7(score=948154,gain=948154)","1-2(score=1.2816e+07,gain=1.2816e+07);4-5(score=1.2816e+07,gain=1.2816e+07);6-7(score=9.216e+06,gain=9.216e+06);0-3(score=6.624e+06,gain=6.624e+06)","4-5(score=3398010,gain=3398010);1-2(score=3317292,gain=3317292);0-3(score=1672684,gain=1672684);6-7(score=1042858,gain=1042858);2-3(score=694912,gain=694912);1-3(score=668948,gain=668948);5-6(score=572578,gain=572578);4-6(score=506920,gain=506920)","4-5(score=2732227.89309,gain=2732227.89309);1-2(score=2622671.13993,gain=2622671.13993);0-3(score=1315295.12717,gain=1315295.12717);6-7(score=948154.097128,gain=948154.097128);2-3(score=101443.547451,gain=101443.547451);5-6(score=92944.77139,gain=92944.77139);1-3(score=90561.5228884,gain=90561.5228884);4-6(score=64015.4154423,gain=64015.4154423)","1-2(score=12816000,gain=12816000);4-5(score=12816000,gain=12816000);5-6(score=12816000,gain=12816000);2-3(score=9216000,gain=9216000);6-7(score=9216000,gain=9216000);0-3(score=6624000,gain=6624000);1-3(score=6480000,gain=6480000);4-6(score=6480000,gain=6480000)"
high-degree-aggregator-bias-replay,ocs-oracle,1401,0.7,6,0.03,0.035,14312824,96984000,4,4,24,41472000,0,1,1,1,1,0.427616926503,0.427616926503,0.427616926503,0.821204553589,1,5.77601522661,0,0,"1-2(score=3.33791e+06,gain=3.33791e+06);4-5(score=3.25832e+06,gain=3.25832e+06);6-7(score=2.13723e+06,gain=2.13723e+06);0-3(score=1.66592e+06,gain=1.66592e+06)","1-2(score=2.68102e+06,gain=2.68102e+06);4-5(score=2.67593e+06,gain=2.67593e+06);6-7(score=1.87811e+06,gain=1.87811e+06);0-3(score=1.33255e+06,gain=1.33255e+06)","1-2(score=1.2816e+07,gain=1.2816e+07);4-5(score=1.2816e+07,gain=1.2816e+07);6-7(score=9.216e+06,gain=9.216e+06);0-3(score=6.624e+06,gain=6.624e+06)","1-2(score=3337908,gain=3337908);4-5(score=3258320,gain=3258320);6-7(score=2137228,gain=2137228);0-3(score=1665924,gain=1665924);2-3(score=720870,gain=720870);1-3(score=662562,gain=662562);4-6(score=540720,gain=540720);5-6(score=525696,gain=525696)","1-2(score=2681022.36985,gain=2681022.36985);4-5(score=2675928.86403,gain=2675928.86403);6-7(score=1878106.41298,gain=1878106.41298);0-3(score=1332550.91482,gain=1332550.91482);2-3(score=256408.360853,gain=256408.360853);1-3(score=203151.577957,gain=203151.577957);4-6(score=23323.926982,gain=23323.926982);5-6(score=14845.9927514,gain=14845.9927514)","1-2(score=12816000,gain=12816000);4-5(score=12816000,gain=12816000);5-6(score=12816000,gain=12816000);2-3(score=9216000,gain=9216000);6-7(score=9216000,gain=9216000);0-3(score=6624000,gain=6624000);1-3(score=6480000,gain=6480000);4-6(score=6480000,gain=6480000)"
high-degree-aggregator-bias-replay,ocs-oracle,1401,0.7,7,0.035,0.04,14251794,96984000,4,4,22,35808000,0,1,1,1,1,0.427616926503,0.427616926503,0.427616926503,0.807724424583,1,5.80503190858,0,0,"1-2(score=3.68625e+06,gain=3.68625e+06);4-5(score=3.48796e+06,gain=3.48796e+06);0-3(score=1.66481e+06,gain=1.66481e+06);6-7(score=1.53639e+06,gain=1.53639e+06)","1-2(score=2.92079e+06,gain=2.92079e+06);4-5(score=2.83933e+06,gain=2.83933e+06);6-7(score=1.38127e+06,gain=1.38127e+06);0-3(score=1.33339e+06,gain=1.33339e+06)","1-2(score=1.2816e+07,gain=1.2816e+07);4-5(score=1.2816e+07,gain=1.2816e+07);6-7(score=9.216e+06,gain=9.216e+06);0-3(score=6.624e+06,gain=6.624e+06)","1-2(score=3686250,gain=3686250);4-5(score=3487956,gain=3487956);0-3(score=1664814,gain=1664814);6-7(score=1536394,gain=1536394);1-3(score=693126,gain=693126);2-3(score=688958,gain=688958);5-6(score=541202,gain=541202);4-6(score=517466,gain=517466)","1-2(score=2920789.20981,gain=2920789.20981);4-5(score=2839327.52862,gain=2839327.52862);6-7(score=1381271.15846,gain=1381271.15846);0-3(score=1333391.49526,gain=1333391.49526);1-3(score=97089.3825392,gain=97089.3825392);2-3(score=94643.2214518,gain=94643.2214518);5-6(score=51563.6432027,gain=51563.6432027);4-6(score=43621.4860839,gain=43621.4860839)","1-2(score=12816000,gain=12816000);4-5(score=12816000,gain=12816000);5-6(score=12816000,gain=12816000);2-3(score=9216000,gain=9216000);6-7(score=9216000,gain=9216000);0-3(score=6624000,gain=6624000);1-3(score=6480000,gain=6480000);4-6(score=6480000,gain=6480000)"
high-degree-aggregator-bias-replay,ocs-oracle,1401,0.7,8,0.04,0.045,13809498,96984000,4,4,22,35808000,0,1,1,1,1,0.427616926503,0.427616926503,0.427616926503,0.813348756355,1,6.02298589385,0,0,"1-2(score=3.62949e+06,gain=3.62949e+06);4-5(score=3.23257e+06,gain=3.23257e+06);0-3(score=1.64352e+06,gain=1.64352e+06);6-7(score=1.38528e+06,gain=1.38528e+06)","1-2(score=2.85531e+06,gain=2.85531e+06);4-5(score=2.63911e+06,gain=2.63911e+06);0-3(score=1.30568e+06,gain=1.30568e+06);6-7(score=1.2459e+06,gain=1.2459e+06)","1-2(score=1.2816e+07,gain=1.2816e+07);4-5(score=1.2816e+07,gain=1.2816e+07);6-7(score=9.216e+06,gain=9.216e+06);0-3(score=6.624e+06,gain=6.624e+06)","1-2(score=3629490,gain=3629490);4-5(score=3232566,gain=3232566);0-3(score=1643520,gain=1643520);6-7(score=1385278,gain=1385278);2-3(score=719636,gain=719636);1-3(score=682464,gain=682464);5-6(score=570440,gain=570440);4-6(score=525912,gain=525912)","1-2(score=2855307.62251,gain=2855307.62251);4-5(score=2639109.70686,gain=2639109.70686);0-3(score=1305676.34553,gain=1305676.34553);6-7(score=1245900.32463,gain=1245900.32463);2-3(score=103849.585948,gain=103849.585948);1-3(score=87286.537792,gain=87286.537792);5-6(score=80022.8811259,gain=80022.8811259);4-6(score=60804.0494768,gain=60804.0494768)","1-2(score=12816000,gain=12816000);4-5(score=12816000,gain=12816000);5-6(score=12816000,gain=12816000);2-3(score=9216000,gain=9216000);6-7(score=9216000,gain=9216000);0-3(score=6624000,gain=6624000);1-3(score=6480000,gain=6480000);4-6(score=6480000,gain=6480000)"
high-degree-aggregator-bias-replay,ocs-oracle,1401,0.7,9,0.045,0.05,13512554,96984000,4,4,23,38640000,0,1,1,1,1,0.427616926503,0.427616926503,0.427616926503,0.809714657434,1,6.17731876152,0,0,"1-2(score=3.54353e+06,gain=3.54353e+06);4-5(score=3.14932e+06,gain=3.14932e+06);0-3(score=1.64463e+06,gain=1.64463e+06);6-7(score=1.31929e+06,gain=1.31929e+06)","1-2(score=2.78676e+06,gain=2.78676e+06);4-5(score=2.56998e+06,gain=2.56998e+06);0-3(score=1.30082e+06,gain=1.30082e+06);6-7(score=1.18988e+06,gain=1.18988e+06)","1-2(score=1.2816e+07,gain=1.2816e+07);4-5(score=1.2816e+07,gain=1.2816e+07);6-7(score=9.216e+06,gain=9.216e+06);0-3(score=6.624e+06,gain=6.624e+06)","1-2(score=3543526,gain=3543526);4-5(score=3149318,gain=3149318);0-3(score=1644626,gain=1644626);6-7(score=1319292,gain=1319292);1-3(score=692636,gain=692636);2-3(score=689710,gain=689710);4-6(score=533528,gain=533528);5-6(score=514972,gain=514972)","1-2(score=2786762.49725,gain=2786762.49725);4-5(score=2569983.60668,gain=2569983.60668);0-3(score=1300815.77375,gain=1300815.77375);6-7(score=1189882.68891,gain=1189882.68891);1-3(score=92905.0611095,gain=92905.0611095);2-3(score=91738.3167597,gain=91738.3167597);4-6(score=72423.3474443,gain=72423.3474443);5-6(score=63700.0462178,gain=63700.0462178)","1-2(score=12816000,gain=12816000);4-5(score=12816000,gain=12816000);5-6(score=12816000,gain=12816000);2-3(score=9216000,gain=9216000);6-7(score=9216000,gain=9216000);0-3(score=6624000,gain=6624000);1-3(score=6480000,gain=6480000);4-6(score=6480000,gain=6480000)"
high-degree-aggregator-bias-replay,ocs-volume,1401,0.5,1,0.005,0.01,1195348,64656000,3,3,12,17424000,0,0.4,0,0,0.333333333333,0.269487750557,0.364513734224,0.427616926503,0.773750930049,0.230769230769,53.0890214939,27648000,12960000,"0-1(score=120246,gain=120246);2-3(score=94440,gain=94440);5-6(score=81784,gain=81784)","6-7(score=63489.3,gain=63489.3);2-3(score=60383.2,gain=60383.2);4-5(score=52713.3,gain=52713.3);0-1(score=44703,gain=44703)","1-2(score=8.544e+06,gain=8.544e+06);4-5(score=8.544e+06,gain=8.544e+06);6-7(score=6.144e+06,gain=6.144e+06);0-3(score=4.416e+06,gain=4.416e+06)","0-1(score=120246,gain=120246);0-2(score=116706,gain=116706);0-3(score=96646,gain=96646);0-4(score=96646,gain=96646);0-5(score=96484,gain=96484);0-6(score=95620,gain=95620);1-2(score=95620,gain=95620);2-3(score=94440,gain=94440)","6-7(score=63489.3178489,gain=63489.3178489);2-3(score=60383.2326017,gain=60383.2326017);1-2(score=58383.5470708,gain=58383.5470708);4-5(score=52713.2905346,gain=52713.2905346);5-6(score=46765.4442522,gain=46765.4442522);0-1(score=44702.9736947,gain=44702.9736947);1-3(score=42109.2567989,gain=42109.2567989);4-6(score=39737.8655722,gain=39737.8655722)","1-2(score=8544000,gain=8544000);4-5(score=8544000,gain=8544000);5-6(score=8544000,gain=8544000);2-3(score=6144000,gain=6144000);6-7(score=6144000,gain=6144000);0-3(score=4416000,gain=4416000);1-3(score=4320000,gain=4320000);4-6(score=4320000,gain=4320000)"
high-degree-aggregator-bias-replay,ocs-volume,1401,0.5,2,0.01,0.015,9704554,64656000,3,3,12,17424000,0,0.5,0,0,0,0.269487750557,0.269487750557,0.427616926503,0.757294553411,0.777777777778,5.66243034595,27648000,27648000,"2-3(score=2.52631e+06,gain=2.52631e+06);5-6(score=2.30619e+06,gain=2.30619e+06);0-4(score=267146,gain=267146)","2-3(score=1.9092e+06,gain=1.9092e+06);5-6(score=1.66277e+06,gain=1.66277e+06);0-1(score=120727,gain=120727)","1-2(score=8.544e+06,gain=8.544e+06);4-5(score=8.544e+06,gain=8.544e+06);6-7(score=6.144e+06,gain=6.144e+06);0-3(score=4.416e+06,gain=4.416e+06)","2-3(score=2526310,gain=2526310);5-6(score=2306192,gain=2306192);6-7(score=689020,gain=689020);1-2(score=683424,gain=683424);4-5(score=663738,gain=663738);1-3(score=645818,gain=645818);4-6(score=600862,gain=600862);0-2(score=284152,gain=284152)","2-3(score=1909196.93096,gain=1909196.93096);5-6(score=1662766.02335,gain=1662766.02335);6-7(score=551451.704659,gain=551451.704659);4-5(score=409410.5475,gain=409410.5475);1-2(score=399133.897935,gain=399133.897935);1-3(score=366875.557844,gain=366875.557844);4-6(score=295036.790115,gain=295036.790115);0-1(score=120726.97638,gain=120726.97638)","1-2(score=8544000,gain=8544000);4-5(score=8544000,gain=8544000);5-6(score=8544000,gain=8544000);2-3(score=6144000,gain=6144000);6-7(score=6144000,gain=6144000);0-3(score=4416000,gain=4416000);1-3(score=4320000,gain=4320000);4-6(score=4320000,gain=4320000)"
high-degree-aggregator-bias-replay,ocs-volume,1401,0.5,3,0.015,0.02,9634456,64656000,3,3,12,15024000,0,1,0.166666666667,0.166666666667,0.166666666667,0.232368225687,0.232368225687,0.427616926503,0.731701178175,0.777777777778,5.7109045219,21504000,21504000,"2-3(score=2.57041e+06,gain=2.57041e+06);6-7(score=1.28929e+06,gain=1.28929e+06);0-4(score=903150,gain=903150)","2-3(score=1.92782e+06,gain=1.92782e+06);6-7(score=1.08139e+06,gain=1.08139e+06);0-4(score=652321,gain=652321)","1-2(score=8.544e+06,gain=8.544e+06);4-5(score=8.544e+06,gain=8.544e+06);6-7(score=6.144e+06,gain=6.144e+06);0-3(score=4.416e+06,gain=4.416e+06)","2-3(score=2570406,gain=2570406);6-7(score=1289288,gain=1289288);5-6(score=936356,gain=936356);0-4(score=903150,gain=903150);4-5(score=735832,gain=735832);1-2(score=723664,gain=723664);1-3(score=620370,gain=620370);4-6(score=596554,gain=596554)","2-3(score=1927816.95776,gain=1927816.95776);6-7(score=1081390.98312,gain=1081390.98312);0-4(score=652321.228012,gain=652321.228012);5-6(score=625759.835631,gain=625759.835631);4-5(score=512360.44776,gain=512360.44776);1-2(score=442643.264911,gain=442643.264911);1-3(score=349814.736944,gain=349814.736944);4-6(score=236074.987139,gain=236074.987139)","1-2(score=8544000,gain=8544000);4-5(score=8544000,gain=8544000);5-6(score=8544000,gain=8544000);2-3(score=6144000,gain=6144000);6-7(score=6144000,gain=6144000);0-3(score=4416000,gain=4416000);1-3(score=4320000,gain=4320000);4-6(score=4320000,gain=4320000)"
