scenario,scheme,seed,offered_load_factor,drain_label,cycle,round_start_s,round_end_s,observed_matrix_bytes,future_demand_bytes,selected_edge_jaccard,selected_oracle_jaccard,volume_oracle_jaccard,tl_oracle_jaccard,volume_future_demand_coverage,tl_future_demand_coverage,oracle_future_demand_coverage,historical_future_pearson,historical_future_topk_jaccard,demand_drift_ratio,selected_but_unused_lightpaths,volume_oracle_possible_bytes_missed,tl_oracle_possible_bytes_missed
cross-community-distractor-replay,ocs-oracle,1401,0.5,D3,3,0.015,0.02,9034090,57007200,0.4,1,0.4,1,0.325432576938,0.538879299457,0.538879299457,0.757106705703,1,5.31022099802,0,16200000,0
cross-community-distractor-replay,ocs-oracle,1401,0.5,D3,4,0.02,0.025,10191494,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.839494499628,1,4.59359769188,0,0,0
cross-community-distractor-replay,ocs-oracle,1401,0.5,D3,5,0.025,0.03,10391694,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.855099377383,1,4.48583505778,0,0,0
cross-community-distractor-replay,ocs-oracle,1401,0.5,D3,6,0.03,0.035,9908404,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.840235548766,1,4.75341038159,0,0,0
cross-community-distractor-replay,ocs-oracle,1401,0.5,D3,7,0.035,0.04,9772752,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.816155773747,1,4.83327122198,0,0,0
cross-community-distractor-replay,ocs-oracle,1401,0.5,D3,8,0.04,0.045,10280224,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.835779525994,1,4.54531868024,0,0,0
cross-community-distractor-replay,ocs-oracle,1401,0.5,D3,9,0.045,0.05,10326974,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.850565073956,1,4.52021517979,0,0,0
cross-community-distractor-replay,ocs-volume,1401,0.5,D0,1,0.005,0.01,1035096,57007200,0.4,0.4,0.4,1,0.428366943123,0.538879299457,0.538879299457,0.924889234379,1,54.0733716286,0,14520000,0
cross-community-distractor-replay,ocs-volume,1401,0.5,D0,2,0.01,0.015,10240088,57007200,1,0.4,0.4,0.4,0.428366943123,0.428366943123,0.538879299457,0.936930567701,0.777777777778,4.56705350511,0,14520000,14520000
cross-community-distractor-replay,ocs-volume,1401,0.5,D0,3,0.015,0.02,7543344,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.928867016427,0.777777777778,6.55726929186,0,0,0
cross-community-distractor-replay,ocs-volume,1401,0.5,D0,4,0.02,0.025,12896344,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.794249038757,0.777777777778,3.42041081043,0,0,0
cross-community-distractor-replay,ocs-volume,1401,0.5,D0,5,0.025,0.03,11364442,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.833634944456,1,4.01627160463,0,0,0
cross-community-distractor-replay,ocs-volume,1401,0.5,D0,6,0.03,0.035,10471684,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.866184340153,1,4.4439305091,0,0,0
cross-community-distractor-replay,ocs-volume,1401,0.5,D0,7,0.035,0.04,9718116,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.806163302773,0.777777777778,4.86606626334,0,0,0
cross-community-distractor-replay,ocs-volume,1401,0.5,D0,8,0.04,0.045,10790056,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.859125682335,1,4.28330185687,0,0,0
cross-community-distractor-replay,ocs-volume,1401,0.5,D0,9,0.045,0.05,10336236,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.843000439296,1,4.51526868438,0,0,0
cross-community-distractor-replay,ocs-volume,1401,0.5,D1,1,0.005,0.01,1035096,57007200,0.4,0.4,0.4,1,0.428366943123,0.538879299457,0.538879299457,0.924889234379,1,54.0733716286,0,14520000,0
cross-community-distractor-replay,ocs-volume,1401,0.5,D1,2,0.01,0.015,10240088,57007200,1,0.4,0.4,0.4,0.428366943123,0.428366943123,0.538879299457,0.936930567701,0.777777777778,4.56705350511,0,14520000,14520000
cross-community-distractor-replay,ocs-volume,1401,0.5,D1,3,0.015,0.02,7543344,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.928867016427,0.777777777778,6.55726929186,0,0,0
cross-community-distractor-replay,ocs-volume,1401,0.5,D1,4,0.02,0.025,12896344,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.794249038757,0.777777777778,3.42041081043,0,0,0
cross-community-distractor-replay,ocs-volume,1401,0.5,D1,5,0.025,0.03,11364442,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.833634944456,1,4.01627160463,0,0,0
cross-community-distractor-replay,ocs-volume,1401,0.5,D1,6,0.03,0.035,10471684,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.866184340153,1,4.4439305091,0,0,0
cross-community-distractor-replay,ocs-volume,1401,0.5,D1,7,0.035,0.04,9718116,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.806163302773,0.777777777778,4.86606626334,0,0,0
cross-community-distractor-replay,ocs-volume,1401,0.5,D1,8,0.04,0.045,10790056,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.859125682335,1,4.28330185687,0,0,0
cross-community-distractor-replay,ocs-volume,1401,0.5,D1,9,0.045,0.05,10336236,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.843000439296,1,4.51526868438,0,0,0
cross-community-distractor-replay,ocs-volume,1401,0.5,D2,1,0.005,0.01,1035096,57007200,0.4,0.4,0.4,1,0.428366943123,0.538879299457,0.538879299457,0.924889234379,1,54.0733716286,0,14520000,0
cross-community-distractor-replay,ocs-volume,1401,0.5,D2,2,0.01,0.015,10240088,57007200,1,0.4,0.4,0.4,0.428366943123,0.428366943123,0.538879299457,0.936930567701,0.777777777778,4.56705350511,0,14520000,14520000
cross-community-distractor-replay,ocs-volume,1401,0.5,D2,3,0.015,0.02,7543344,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.928867016427,0.777777777778,6.55726929186,0,0,0
cross-community-distractor-replay,ocs-volume,1401,0.5,D2,4,0.02,0.025,12896344,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.794249038757,0.777777777778,3.42041081043,0,0,0
cross-community-distractor-replay,ocs-volume,1401,0.5,D2,5,0.025,0.03,11364442,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.833634944456,1,4.01627160463,0,0,0
cross-community-distractor-replay,ocs-volume,1401,0.5,D2,6,0.03,0.035,10471684,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.866184340153,1,4.4439305091,0,0,0
cross-community-distractor-replay,ocs-volume,1401,0.5,D2,7,0.035,0.04,9718116,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.806163302773,0.777777777778,4.86606626334,0,0,0
cross-community-distractor-replay,ocs-volume,1401,0.5,D2,8,0.04,0.045,10790056,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.859125682335,1,4.28330185687,0,0,0
cross-community-distractor-replay,ocs-volume,1401,0.5,D2,9,0.045,0.05,10336236,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.843000439296,1,4.51526868438,0,0,0
cross-community-distractor-replay,ocs-volume,1401,0.5,D3,1,0.005,0.01,1035096,57007200,0.4,0.4,0.4,1,0.428366943123,0.538879299457,0.538879299457,0.924889234379,1,54.0733716286,0,14520000,0
cross-community-distractor-replay,ocs-volume,1401,0.5,D3,2,0.01,0.015,10240088,57007200,1,0.4,0.4,0.4,0.428366943123,0.428366943123,0.538879299457,0.936930567701,0.777777777778,4.56705350511,0,14520000,14520000
cross-community-distractor-replay,ocs-volume,1401,0.5,D3,3,0.015,0.02,7543344,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.928867016427,0.777777777778,6.55726929186,0,0,0
cross-community-distractor-replay,ocs-volume,1401,0.5,D3,4,0.02,0.025,12896344,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.794249038757,0.777777777778,3.42041081043,0,0,0
cross-community-distractor-replay,ocs-volume,1401,0.5,D3,5,0.025,0.03,11364442,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.833634944456,1,4.01627160463,0,0,0
cross-community-distractor-replay,ocs-volume,1401,0.5,D3,6,0.03,0.035,10471684,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.866184340153,1,4.4439305091,0,0,0
cross-community-distractor-replay,ocs-volume,1401,0.5,D3,7,0.035,0.04,9718116,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.806163302773,0.777777777778,4.86606626334,0,0,0
cross-community-distractor-replay,ocs-volume,1401,0.5,D3,8,0.04,0.045,10790056,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.859125682335,1,4.28330185687,0,0,0
cross-community-distractor-replay,ocs-volume,1401,0.5,D3,9,0.045,0.05,10336236,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.843000439296,1,4.51526868438,0,0,0
cross-community-distractor-replay,tl-ocs,1401,0.5,D0,1,0.005,0.01,1035096,57007200,0.4,1,0.4,1,0.428366943123,0.538879299457,0.538879299457,0.924889234379,1,54.0733716286,0,14520000,0
cross-community-distractor-replay,tl-ocs,1401,0.5,D0,2,0.01,0.015,11782496,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.878079826307,0.777777777778,3.83828985902,0,0,0
cross-community-distractor-replay,tl-ocs,1401,0.5,D0,3,0.015,0.02,9034090,57007200,0.4,1,0.4,1,0.325432576938,0.538879299457,0.538879299457,0.757106705703,1,5.31022099802,0,16200000,0
cross-community-distractor-replay,tl-ocs,1401,0.5,D0,4,0.02,0.025,10191494,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.839494499628,1,4.59359769188,0,0,0
cross-community-distractor-replay,tl-ocs,1401,0.5,D0,5,0.025,0.03,10391694,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.855099377383,1,4.48583505778,0,0,0
cross-community-distractor-replay,tl-ocs,1401,0.5,D0,6,0.03,0.035,9908404,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.840235548766,1,4.75341038159,0,0,0
cross-community-distractor-replay,tl-ocs,1401,0.5,D0,7,0.035,0.04,9772752,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.816155773747,1,4.83327122198,0,0,0
cross-community-distractor-replay,tl-ocs,1401,0.5,D0,8,0.04,0.045,10280224,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.835779525994,1,4.54531868024,0,0,0
cross-community-distractor-replay,tl-ocs,1401,0.5,D0,9,0.045,0.05,10326974,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.850565073956,1,4.52021517979,0,0,0
cross-community-distractor-replay,tl-ocs,1401,0.5,D1,1,0.005,0.01,1035096,57007200,0.4,1,0.4,1,0.428366943123,0.538879299457,0.538879299457,0.924889234379,1,54.0733716286,0,14520000,0
cross-community-distractor-replay,tl-ocs,1401,0.5,D1,2,0.01,0.015,11782496,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.878079826307,0.777777777778,3.83828985902,0,0,0
cross-community-distractor-replay,tl-ocs,1401,0.5,D1,3,0.015,0.02,9034090,57007200,0.4,1,0.4,1,0.325432576938,0.538879299457,0.538879299457,0.757106705703,1,5.31022099802,0,16200000,0
cross-community-distractor-replay,tl-ocs,1401,0.5,D1,4,0.02,0.025,10191494,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.839494499628,1,4.59359769188,0,0,0
cross-community-distractor-replay,tl-ocs,1401,0.5,D1,5,0.025,0.03,10391694,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.855099377383,1,4.48583505778,0,0,0
cross-community-distractor-replay,tl-ocs,1401,0.5,D1,6,0.03,0.035,9908404,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.840235548766,1,4.75341038159,0,0,0
cross-community-distractor-replay,tl-ocs,1401,0.5,D1,7,0.035,0.04,9772752,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.816155773747,1,4.83327122198,0,0,0
cross-community-distractor-replay,tl-ocs,1401,0.5,D1,8,0.04,0.045,10280224,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.835779525994,1,4.54531868024,0,0,0
cross-community-distractor-replay,tl-ocs,1401,0.5,D1,9,0.045,0.05,10326974,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.850565073956,1,4.52021517979,0,0,0
cross-community-distractor-replay,tl-ocs,1401,0.5,D2,1,0.005,0.01,1035096,57007200,0.4,1,0.4,1,0.428366943123,0.538879299457,0.538879299457,0.924889234379,1,54.0733716286,0,14520000,0
cross-community-distractor-replay,tl-ocs,1401,0.5,D2,2,0.01,0.015,11782496,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.878079826307,0.777777777778,3.83828985902,0,0,0
cross-community-distractor-replay,tl-ocs,1401,0.5,D2,3,0.015,0.02,9034090,57007200,0.4,1,0.4,1,0.325432576938,0.538879299457,0.538879299457,0.757106705703,1,5.31022099802,0,16200000,0
cross-community-distractor-replay,tl-ocs,1401,0.5,D2,4,0.02,0.025,10191494,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.839494499628,1,4.59359769188,0,0,0
cross-community-distractor-replay,tl-ocs,1401,0.5,D2,5,0.025,0.03,10391694,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.855099377383,1,4.48583505778,0,0,0
cross-community-distractor-replay,tl-ocs,1401,0.5,D2,6,0.03,0.035,9908404,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.840235548766,1,4.75341038159,0,0,0
cross-community-distractor-replay,tl-ocs,1401,0.5,D2,7,0.035,0.04,9772752,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.816155773747,1,4.83327122198,0,0,0
cross-community-distractor-replay,tl-ocs,1401,0.5,D2,8,0.04,0.045,10280224,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.835779525994,1,4.54531868024,0,0,0
cross-community-distractor-replay,tl-ocs,1401,0.5,D2,9,0.045,0.05,10326974,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.850565073956,1,4.52021517979,0,0,0
cross-community-distractor-replay,tl-ocs,1401,0.5,D3,1,0.005,0.01,1035096,57007200,0.4,1,0.4,1,0.428366943123,0.538879299457,0.538879299457,0.924889234379,1,54.0733716286,0,14520000,0
cross-community-distractor-replay,tl-ocs,1401,0.5,D3,2,0.01,0.015,11782496,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.878079826307,0.777777777778,3.83828985902,0,0,0
cross-community-distractor-replay,tl-ocs,1401,0.5,D3,3,0.015,0.02,9034090,57007200,0.4,1,0.4,1,0.325432576938,0.538879299457,0.538879299457,0.757106705703,1,5.31022099802,0,16200000,0
cross-community-distractor-replay,tl-ocs,1401,0.5,D3,4,0.02,0.025,10191494,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.839494499628,1,4.59359769188,0,0,0
cross-community-distractor-replay,tl-ocs,1401,0.5,D3,5,0.025,0.03,10391694,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.855099377383,1,4.48583505778,0,0,0
cross-community-distractor-replay,tl-ocs,1401,0.5,D3,6,0.03,0.035,9908404,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.840235548766,1,4.75341038159,0,0,0
cross-community-distractor-replay,tl-ocs,1401,0.5,D3,7,0.035,0.04,9772752,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.816155773747,1,4.83327122198,0,0,0
cross-community-distractor-replay,tl-ocs,1401,0.5,D3,8,0.04,0.045,10280224,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.835779525994,1,4.54531868024,0,0,0
cross-community-distractor-replay,tl-ocs,1401,0.5,D3,9,0.045,0.05,10326974,57007200,1,1,1,1,0.538879299457,0.538879299457,0.538879299457,0.850565073956,1,4.52021517979,0,0,0
